OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,Location,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
11010001,1/1/2011,2:20,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,NONCAM,Z2,"Chi Phi Fraternity   304  Z2 - 720 Fowler Street, NW",Chi Phi Fraternity   304  Z2,720,NULL,"Fowler Street, NW",NULL,NULL,1
11010004,1/1/2011,23:41,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,PUB,Z2,"Fifth Street, NW @ Williams Street, NW","Fifth Street, NW @ Williams Street, NW",NULL,NULL,NULL,NULL,NULL,1
11010005,1/2/2011,18:08,1/2/2011,18:08:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z2,"Peters Parking Deck   8   Z2 - 749 Fowler Street, NW",Peters Parking Deck   8   Z2,749,NULL,"Fowler Street, NW",NULL,NULL,1
11010007,1/2/2011,20:00,NULL,NULL,7399,Miscellaneous Offenses,Inactive,NULL,NONCAM,Z1,"Mecaslin Street, NW @ Laurent Street, NW","Mecaslin Street, NW @ Laurent Street, NW",NULL,NULL,NULL,NULL,NULL,1
11010012,1/3/2011,10:00,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,Cleared by Arrest,PUB,Z2,"Williams Street, NW @ North Avenue, NW","Williams Street, NW @ North Avenue, NW",NULL,NULL,NULL,NULL,NULL,1
11010014,1/3/2011,10:00,1/3/2011,15:00:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z3,Miscellaneous Campus Location,Miscellaneous Campus Location,NULL,NULL,NULL,NULL,NULL,1
11010015,1/4/2011,0:30,1/4/2011,3:15:00,5707,Criminal Trespass,Inactive,NULL,PUB,Z2,"700 block Techwood Drive, NW","700 block Techwood Drive, NW",NULL,NULL,NULL,NULL,NULL,1
11010016,1/4/2011,10:30,1/4/2011,10:30:00,2999,Damage to Property Offense Free Text,Inactive,NULL,ONCAMRES,Z4,"Eighth Street Apartments East Building - 555 Eighth Street, NW, Room 307",Eighth Street Apartments East Building,555,NULL,"Eighth Street, NW",NULL,NULL,1
11010017,1/4/2011,16:45,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z1,"Molecular Science Building    Z1 - 901 Atlantic Drive, NW",Molecular Science Building    Z1,901,NULL,"Atlantic Drive, NW",NULL,NULL,1
11010018,1/4/2011,14:00,1/4/2011,14:10:00,2308,Larceny – From Building,Inactive,NULL,ONCAM,Z3,Student Center   104   Z3 - 351 Ferst Drive NW,Student Center   104   Z3,351,NULL,Ferst Drive NW,NULL,NULL,1
